"деятель,","дзеяч,","дзеяч, дэпутат"
"Штурмовая дивизия","Штурмавая дывізія","Штурмавая дывізія «Родас»"
"Штурмовая дивизия","Штурмавая дывізія","Штурмавая дывізія «Родас» (аб’яднана"
"армейский","армейскі","годзе) 68-ы армейскі"
"армейский","армейскі","68-ы армейскі"
"группы армий","групы армій","групы армій знаходзіліся"
"крепостная дивизия","крапасная дывізія","крапасная дывізія (крыцкі"
"с","з","«Родас» (аб’яднана з"
"с","з","(аб’яднана з"
"армейский корпус","армейскі корпус","68-ы армейскі корпус"
"армейский корпус","армейскі корпус","годзе) 68-ы армейскі корпус"
"горный","горны","22-і горны"
"армий","армій","армій знаходзіліся"
"и","і","і Пелапанес)"
"1944","1944","1944 годзе)"
"1944","1944","1944 годзе) 68-ы"
"дивизия","дывізія","дывізія (крыцкі"
"дивизия","дывізія","дывізія «Родас» (аб’яднана"
"дивизия","дывізія","дывізія 22-і"
"дивизия","дывізія","дывізія (афінскі"
"дивизия","дывізія","дывізія «Родас»"
"что даёт","што дае","горада, што дае"
"что даёт","што дае","да горада, што дае"
"местных","мясцовых","мясцовых жыхароў і"
"местных","мясцовых","мясцовых жыхароў"
"что","што","горада, што"
"что","што","да горада, што"
"приблизиться к","наблізіцца к","наблізіцца да горада,"
"приблизиться к","наблізіцца к","наблізіцца да"
"приблизиться к","наблізіцца к","наблізіцца"
"приблизиться","наблізіцца","наблізіцца да горада,"
"приблизиться","наблізіцца","наблізіцца да"
"создание","стварэнне","жыхароў і стварэнне"
"создание","стварэнне","і стварэнне"
"создание новых","стварэнне новых","і стварэнне новых"
"создание новых","стварэнне новых","жыхароў і стварэнне новых"
"проблем местных","праблем мясцовых","праблем мясцовых жыхароў і"
"проблем местных","праблем мясцовых","праблем мясцовых жыхароў"
"пикирующих бомбардировщиков","пікіруючых бамбардзіроўшчыкаў","пікіруючых бамбардзіроўшчыкаў (ням."
"бомбардировщиков","бамбардзіроўшчыкаў","бамбардзіроўшчыкаў (ням."
"трансформаций,","трансфармацый,","якіх-небудзь трансфармацый,"
"пятна не","плямы не","плямы не перажываюць."
"не","не","не перажываюць."
"В дальнейшем","У далейшым","У далейшым якіх-небудзь"
"дальнейшем","далейшым","далейшым якіх-небудзь"
"на г.","на г.","зменена на г."
"на","на","зменена на"
"Постановлением главы","Пастановай кіраўніка","Пастановай кіраўніка Сяміпалацінскай"
"стандарт","стандарт","4-дзірачны стандарт"
"почти исключительно","амаль выключна","амаль выключна выкарыстоўваецца"
"стандарт под","стандарт пад","4-дзірачны стандарт пад"
"национальный","нацыянальны","выкарыстоўваецца нацыянальны 4-дзірачны"
"национальный","нацыянальны","выкарыстоўваецца нацыянальны"
"национальный","нацыянальны","нацыянальны 4-дзірачны"
"исключительно","выключна","выключна выкарыстоўваецца"
"дома преимущественно","дамы пераважна","забудовай; дамы пераважна"
"с квартальной","з квартальнай","з квартальнай забудовай;"
"квартальной","квартальнай","квартальнай забудовай;"
"дома","дамы","забудовай; дамы"
"резными","разнымі","разнымі ўпрыгожваннямі."
"актёров начался","акцёраў пачаўся","Кастынг акцёраў пачаўся"
"актёров","акцёраў","Кастынг акцёраў"
"марта 1911","сакавіка 1911","З сакавіка 1911"
"марта","сакавіка","З сакавіка"
"С марта","Са сакавіка","З сакавіка"
"С марта","Са сакавіка","сакавіка"
"целое","цэлае","32-бітнае цэлае"
"—","—","— 32-бітнае"
"профессиональным","прафесійным","з'яўляюцца прафесійным"
"также","таксама","таксама з'яўляюцца"
"туда,","туды,","Алёшы адпраўляюцца туды,"
"туда,","туды,","адпраўляюцца туды,"
"отец","бацька","бацька Алёшы адпраўляюцца"
"отец","бацька","бацька Алёшы"
"и отец","і бацька","і бацька Алёшы адпраўляюцца"
"и отец","і бацька","і бацька Алёшы"
"и","і","і меў"
"и","і","і меў назву"
"городом и","горадам і","горадам і меў"
"городом и","горадам і","горадам і меў назву"
"—","—","— са"
"—","—","— са складзенымі"
"с","з","адпачываюць з"
"крыльями.","крыламі.","са складзенымі крыламі."
"крыльями.","крыламі.","складзенымі крыламі."
"— со","— з","— са"
"— со","— з","—"
"— со","— з","— са складзенымі"
"со","з","адпачываюць з"
"с частично","з часткова","адпачываюць з часткова"
"из","з","адпачываюць з"
"1911","1911","артыкуле, апублікаваным у 1911"
"1911","1911","апублікаваным у 1911"
"1911","1911","у 1911"
"1911","1911","класічным артыкуле, апублікаваным у 1911"
"1911 г.","1911 г.","у 1911 г."
"1911 г.","1911 г.","класічным артыкуле, апублікаваным у 1911 г."
"1911 г.","1911 г.","апублікаваным у 1911 г."
"1911 г.","1911 г.","артыкуле, апублікаваным у 1911 г."
"в","у","у класічным артыкуле,"
"в","у","у класічным артыкуле, апублікаваным у"
"в","у","у класічным артыкуле, апублікаваным"
"в","у","у класічным"
"или модель","ці мадэль","атама, ці мадэль"
"или модель","ці мадэль","Планетарная мадэль атама, ці мадэль"
"или модель","ці мадэль","мадэль атама, ці мадэль"
"или","ці","атама, ці"
"или","ці","Планетарная мадэль атама, ці"
"или","ці","мадэль атама, ці"
"в классической","у класічнай","у класічным"
"в классической","у класічнай","у"
"в классической","у класічнай","у класічным артыкуле, апублікаваным"
"в классической","у класічнай","у класічным артыкуле,"
"в классической","у класічнай","у класічным артыкуле, апублікаваным у"
"был снят","быў","быў зняты"
"отставку.","адстаўку.","ў адстаўку."
"отставку.","адстаўку.","адпраўлены ў адстаўку."
"отставку.","адстаўку.","быў адпраўлены ў адстаўку."
"1938 года","1938 года","1938 года быў адпраўлены ў"
"1938 года","1938 года","1938 года быў"
"1938 года","1938 года","1938 года быў адпраўлены"
"со всех","з усіх","зняты з усіх"
"снят со","з","зняты з"
"со","з","зняты з"
"был","быў","быў зняты"
"был","быў","Гамзін быў прызваны"
"был","быў","Гамзін быў"
"был","быў","быў прызваны"
"1939 года","1939 года","1939 года Гамзін"
"на","на","прызваны на"
"на службу","на службу","прызваны на службу"
"—","—","Прато́ній —"
"одинаковые","аднолькавыя","маюць аднолькавыя"
"одинаковые","аднолькавыя","якія маюць аднолькавыя"
"одинаковые значения","аднолькавыя значэнні","маюць аднолькавыя значэнні"
"одинаковые значения","аднолькавыя значэнні","якія маюць аднолькавыя значэнні"
"на бытовые","на бытавыя","на бытавыя паслугі."
"бытовые","бытавыя","бытавыя паслугі."
"бытовые услуги","бытавыя паслугі","бытавыя"
"бытовые услуги","бытавыя паслугі","бытавыя паслугі."
"—","—","— у"
"четырёх —","чатырох —","чатырох — у"
"февраля,","лютага,","лютага, выяўляючы"
"взрослых","дарослых","у дарослых"
"победителей в","пераможцаў у","выяўляючы пераможцаў у"
"взрослых и","дарослых і","у дарослых і"
"пяти —","пяці —","пяці — у"
"у взрослых","ля дарослых","у дарослых"
"у взрослых","ля дарослых","дарослых"
"победителей","пераможцаў","выяўляючы пераможцаў"
"старших","старшых","у старшых"
"— у","— ля","—"
"— у","— ля","— у"
"у старших","ля старшых","старшых"
"у старших","ля старшых","у старшых"
"Парк","Парк","Парк уяўляе"
"собой уникальный","сабой унікальны","уяўляе сабой унікальны"
"собой","сабой","уяўляе сабой"
"с","з","пагадненняў з"
"фильм приобрели","фільм набылі","фільм набылі ўсе"
"несколько сделок","некалькі здзелак","некалькі пагадненняў"
"несколько сделок","некалькі здзелак","некалькі"
"несколько сделок","некалькі здзелак","чакаецца некалькі пагадненняў"
"несколько сделок","некалькі здзелак","чакаецца некалькі"
"и","і","і чакаецца"
"что","што","вядома, што"
"сделок с","здзелак з","пагадненняў з"
"сделок с","здзелак з","з"
"европейские страны","еўрапейскія краіны","ўсе еўрапейскія краіны"
"с компаниями","з кампаніямі","пагадненняў з кампаніямі"
"стало","стала","стала вядома,"
"европейские","еўрапейскія","ўсе еўрапейскія"
"несколько","некалькі","некалькі пагадненняў"
"несколько","некалькі","чакаецца некалькі"
"несколько","некалькі","чакаецца некалькі пагадненняў"
"страны и","краіны і","краіны і чакаецца"
"приобрели","набылі","набылі ўсе"
"из","з","пагадненняў з"
"приобрели все","набылі ўсё","набылі"
"приобрели все","набылі ўсё","набылі ўсе"
"горы","гары","гары паходзіць"
"происходит от","адбываецца ад","паходзіць ад"
"происходит от","адбываецца ад","ад"
"2634","2634","складае 2634"
"Название горы","Назва гары","Назва гары паходзіць"
"у её","ля яе","Ламніца ля яе"
"от местечка","ад мястэчка","паходзіць ад мястэчка"
"уровнем моря","узроўнем мора","узроўнем мора складае"
"горы происходит","гары адбываецца","гары паходзіць"
"горы происходит","гары адбываецца","гары"
"у","ля","Ламніца ля"
"от","ад","паходзіць ад"
"—","—","— з'яўляецца"
"сразу после","адразу пасля","пачынаецца адразу пасля"
"и","і","і заканчваецца праз"
"и","і","і заканчваецца"
"12 —","12 —","заканчваецца праз 12 —"
"12 —","12 —","праз 12 —"
"сразу","адразу","пачынаецца адразу"
"12","12","праз 12"
"12","12","заканчваецца праз 12"
"начальной","пачатковай","з'яўляецца пачатковай"
"пятна,","плямы,","плямы, пачынаецца"
"гипостаза —","гіпастазу —","гіпастазу — з'яўляецца"
"начальной стадией","пачатковай стадыяй","з'яўляецца пачатковай стадыяй"
"через 12","цераз 12","праз 12"
"через 12","цераз 12","заканчваецца праз 12"
"через 12","цераз 12","12"
"лупы","лупы","лупы або"
"лупы или","лупы ці","лупы або"
"лупы или","лупы ці","лупы"
"применением лупы","ужываннем лупы","ужываннем лупы або"
"до","да","паніжаны да"
"1945 года","1945 года","1945 года паніжаны"
"до командования","да камандавання","да камандавання люфтвафэ"
"до командования","да камандавання","да камандавання люфтвафэ «Курляндыя»; 2-і"
"до командования","да камандавання","паніжаны да камандавання люфтвафэ «Курляндыя»; 2-і"
"до командования","да камандавання","паніжаны да камандавання"
"до командования","да камандавання","паніжаны да камандавання люфтвафэ «Курляндыя»;"
"до командования","да камандавання","да камандавання люфтвафэ «Курляндыя»;"
"до командования","да камандавання","паніжаны да камандавання люфтвафэ"
"воздушный","паветраны","1-ы паветраны"
"воздушный","паветраны","2-і паветраны"
"воздушный","паветраны","люфтвафэ «Курляндыя»; 2-і паветраны"
"воздушный","паветраны","«Курляндыя»; 2-і паветраны"
"—","—","«Святошин») —"
"910","910","танкаў, 910"
"3000","3000","3000 гармат."
"1700","1700","1700 танкаў,"
"сосуды гончара","пасудзіны ганчара","ганчара"
"сосуды гончара","пасудзіны ганчара","распісваў посуд ганчара"
"сосуды гончара","пасудзіны ганчара","посуд ганчара"
"гончара","ганчара","распісваў посуд ганчара"
"гончара","ганчара","посуд ганчара"
"который","які","які распісваў"
"который","які","вазапісец, які"
"который","які","вазапісец, які распісваў"
"который","які","які распісваў посуд"
"который","які","вазапісец, які распісваў посуд"
"Брига»","Брыга»","«вазапісец Брыга»"
"тот","той","той вазапісец,"
"или","ці","ці «вазапісец"
"как","як","існаваць як адзінае"
"как","як","існаваць як"
"как","як","як адзінае"
"перестала","перастала","перастала існаваць"
"фактически перестала","фактычна перастала","фактычна перастала існаваць"
"до","да","існавала да"
"и","і","разгромлены і"
"целое,","цэлае,","адзінае цэлае,"
"формально","фармальна","фармальна існавала"
"был","быў","быў разгромлены"
"хотя формально","хоць фармальна","хоць фармальна існавала"
"до конца","да канца","існавала да канца"
"и она","і яна","разгромлены і яна"
"в случае","у аказіі","падмноствам такіх у аказіі"
"в случае","у аказіі","такіх у аказіі"
"в","у","такіх у"
"в","у","падмноствам такіх у"
"или","ці","ці падмноствам"
"или","ці","ці падмноствам такіх"
"Сюжет игры","Сюжэт гульні","Сюжэт гульні працягвае"
"игры","гульні","гульні працягвае"
"события,","падзеі,","працягвае падзеі,"
"был снят","быў","годзе быў"
"2005","2005","2005 годзе"
"В 2009","У 2009","У 2009 годзе"
"году был","году быў","быў"
"году был","году быў","годзе быў"
"году выходит","году выходзіць","выходзіць"
"году выходит","году выходзіць","годзе выходзіць"
"выходит на","выходзіць на","годзе выходзіць на"
"2009 году","2009 году","2009"
"2009 году","2009 году","2009 годзе"
"был","быў","годзе быў"
"2009","2009","2009 годзе"
"выходит","выходзіць","годзе выходзіць"
"2005 году","2005 году","2005 годзе"
"2005 году","2005 году","2005"
"В 2005","У 2005","У 2005 годзе"
"на психологическом","на псіхалагічным","вівучаюцца на псіхалагічным"
"университете","універсітэце","універсітэце існуе"
"своеобразный","своеасаблівы","існуе своеасаблівы"
"на","на","вівучаюцца на"
"своеобразный культ","своеасаблівы культ","існуе своеасаблівы культ"
"его сочинения","яго сачынення","яго сачынення вівучаюцца"
"государственном университете","дзяржаўным універсітэце","дзяржаўным універсітэце існуе"
"ребёнок хочет","дзіця хоча","дзіця хоча знайсці"
"своё","сваё","знайсці сваё"
"каждый ребёнок","кожнае дзіця","Бо кожнае дзіця"
"хочет","хоча","хоча знайсці"
"фильма была","фільма была","фільма была прадэманстравана"
"версия","версія","працоўная версія"
"версия фильма","версія фільма","працоўная версія фільма"
"рабочая версия","рабочая версія","версія"
"рабочая версия","рабочая версія","працоўная версія"
"Париже","Парыжы","Парыжы працоўная"
"членам отборочной","сябрам адборачнай","прадэманстравана сябрам адборачнай"
"кинофестиваля.","кінафестывалю.","Канскага кінафестывалю."
"была","была","была прадэманстравана"
"отборочной комиссии","адборачнай камісіі","адборачнай камісіі Канскага"
"Париже рабочая","Парыжы рабочая","Парыжы працоўная"
"Париже рабочая","Парыжы рабочая","Парыжы"
"членам","сябрам","прадэманстравана сябрам"
"была продемонстрирована","была","была прадэманстравана"
"комиссии","камісіі","камісіі Канскага"
"продемонстрирована членам","сябрам","прадэманстравана сябрам"
"Андрей","Андрэй","Андрэй Алегавіч"
"— Мария","— Марыя","— Марыя Іванаўна"
"— Мария","— Марыя","— Марыя Іванаўна Шыпікава,"
"личный","асабовы","Іванаўна Шыпікава, асабовы"
"личный","асабовы","Шыпікава, асабовы"
"— Андрей","— Андрэй","— Андрэй Алегавіч"
"личный тренер","асабовы трэнер","Шыпікава, асабовы трэнер"
"личный тренер","асабовы трэнер","Іванаўна Шыпікава, асабовы трэнер"
"Мария","Марыя","Марыя Іванаўна"
"Мария","Марыя","Марыя Іванаўна Шыпікава,"
"Иванов.","Іванаў.","Алегавіч Іванаў."
"старший адъютант","старшы ад'ютант","старшы"
"старший адъютант","старшы ад'ютант","старшы ад’ютант штаба Кіеўскай"
"старший адъютант","старшы ад'ютант","старшы ад’ютант"
"старший адъютант","старшы ад'ютант","старшы ад’ютант штаба"
"старший","старшы","старшы ад’ютант штаба"
"старший","старшы","старшы ад’ютант"
"старший","старшы","старшы ад’ютант штаба Кіеўскай"
"— старший","— старшы","— старшы ад’ютант"
"— старший","— старшы","— старшы ад’ютант штаба"
"— старший","— старшы","— старшы ад’ютант штаба Кіеўскай"
"257","257","257 чалавек."
"численностью 257","колькасцю 257","колькасцю 257 чалавек."
"на","на","на гусенічным"
"машина на","машына на","машына на гусенічным"
"пилот","пілот","пілот перапраўляе"
"—","—","Алясцы —"
"охотников и","аматараў і","правіла, аматараў і"
"на","на","на Алясцы"
"частный пилот","прыватны пілот","прыватны пілот перапраўляе"
"охотников","аматараў","правіла, аматараў"
"пассажиров","пасажыраў","перапраўляе пасажыраў"
"состав","састаў","састаў Рэйхсмаршал"
"состав","састаў","састаў Рэйхсмаршал Вялікагерманскага рэйхаReichsmarschall"
"состав","састаў","састаў Рэйхсмаршал Вялікагерманскага"
"офицерский состав","афіцэрскі састаў","афіцэрскі састаў Рэйхсмаршал Вялікагерманскага рэйхаReichsmarschall"
"офицерский состав","афіцэрскі састаў","афіцэрскі састаў Рэйхсмаршал Вялікагерманскага"
"офицерский состав","афіцэрскі састаў","афіцэрскі састаў Рэйхсмаршал"
"В 1891","У 1891","У 1891 пасяліўся ў"
"В 1891","У 1891","У 1891 пасяліўся"
"старинных мастеров","старадаўніх майстроў","старадаўніх майстроў зрабілі"
"портретистом","партрэтыстам","любімым партрэтыстам"
"его любимым","яго каханым","яго"
"его любимым","яго каханым","яго любімым"
"его любимым","яго каханым","зрабілі яго"
"его любимым","яго каханым","зрабілі яго любімым"
"его","яго","зрабілі яго"
"его","яго","яго любімым"
"его","яго","зрабілі яго любімым"
"мастеров","майстроў","майстроў зрабілі"
"любимым портретистом","каханым партрэтыстам","партрэтыстам"
"любимым портретистом","каханым партрэтыстам","любімым партрэтыстам"
"портретистом местной","партрэтыстам мясцовай","любімым партрэтыстам мясцовай"
"Берлине,","Берліне,","пасяліўся ў Берліне,"
"Берлине,","Берліне,","ў Берліне,"
"1891","1891","1891 пасяліўся ў"
"1891","1891","1891 пасяліўся"
"пантера.","пантэра.","змяніла пантэра."
"64","64","Халменколен 64"
"14","14","Хахфільцэн 14"
"19","19","Кантыялахці 19"
"64  66","64 66","Халменколен 64 66"
"19  -","19 -","Кантыялахці 19 -"
"14  36","14 36","Хахфільцэн 14 36"
"некое","некае","скапленнямі, утвараючы некае"
"некое","некае","утвараючы некае"
"некое подобие","некае падабенства","скапленнямі, утвараючы некае падабенства"
"некое подобие","некае падабенства","утвараючы некае падабенства"
"довольно крупными","даволі буйнымі","даволі буйнымі скапленнямі,"
"довольно крупными","даволі буйнымі","даволі буйнымі скапленнямі, утвараючы"
"крупными","буйнымі","буйнымі скапленнямі, утвараючы"
"крупными","буйнымі","буйнымі скапленнямі,"
"населённые пункты","населеныя пункты","Скасаваныя населеныя пункты"
"населённые","населеныя","Скасаваныя населеныя"
"общей численности","#агульны колькасці","колькасці"
"общей численности","#агульны колькасці","агульнай колькасці"
") от","ад","ад агульнай"
"численности","колькасці","агульнай колькасці"
"числе около","ліку наўкола","ліку каля"
"числе около","ліку наўкола","ліку"
"11","11","каля 11"
"около 11","наўкола 11","11"
"около 11","наўкола 11","каля 11"
"51","51","складаюць 51"
"числе","ліку","ліку каля"
"от","ад","ад агульнай"
") или","ці","ці мультымедыйнага"
"или","ці","ці мультымедыйнага"
"окраске чередуются","афарбоўцы чаргуюцца","афарбоўцы чаргуюцца цёмныя"
"и","і","цёмныя і"
"и светлые","і светлыя","цёмныя і светлыя"
"чередуются","чаргуюцца","чаргуюцца цёмныя"
"парке","парку","парку знаходзіцца"
"парке находится","парку знаходзіць","парку знаходзіцца"
"парке находится","парку знаходзіць","парку"
"дворец,","палац,","палац, які з'яўляецца"
"дворец,","палац,","палац, які"
"архитектурным","архітэктурным","з'яўляецца архітэктурным"
"архитектурным","архітэктурным","які з'яўляецца архітэктурным"
"архитектурным памятником","архітэктурным помнікам","з'яўляецца архітэктурным помнікам"
"архитектурным памятником","архітэктурным помнікам","які з'яўляецца архітэктурным помнікам"
"В парке","У парку","У парку знаходзіцца"
"Эти функции","Гэтыя функцыі","Гэтыя функцыі выконвала"
"функции","функцыі","функцыі выконвала"
"области","вобласці","Усходне-Казахстанскай вобласці"
"большинстве стран","большасці краін","большасці краін паўналецце"
"наступает","наступае","паўналецце наступае"
"стран","краін","краін паўналецце"
"наступает с","наступае з","паўналецце наступае з"
"Чемпионате","Чэмпіянаце","Чэмпіянаце свету"
"в","у","у індывідуальнай"
"в","у","Места-на-Мораве у"
"в","у","у пасьюце"
"и","і","пасьюце і"
"в 2011","у 2011","Места-на-Мораве у 2011"
"гонке.","гонцы.","індывідуальнай гонцы."
"мира среди","міру сярод","свету сярод"
"мира среди","міру сярод","сярод"
"была","была","Ірына была"
"2011 году","2011 году","2011 году Ірына"
"карьере Чемпионате","кар'еры Чэмпіянаце","кар'еры Чэмпіянаце свету"
"Чемпионате мира","Чэмпіянаце міру","Чэмпіянаце свету"
"Чемпионате мира","Чэмпіянаце міру","Чэмпіянаце"
"среди юниоров","сярод юніёраў","свету сярод юніёраў"
"среди","сярод","свету сярод"
"году","году","году Ірына"
"внеочередная","нечарговая","адбылася нечарговая"
"внеочередная конференция","нечарговая канферэнцыя","адбылася нечарговая канферэнцыя"
"Минске","Мінску","Мінску адбылася"
"много медной","замнога меднай","меднай"
"много медной","замнога меднай","знойдзена шмат меднай"
"много медной","замнога меднай","шмат меднай"
"было","было","было знойдзена шмат"
"было","было","было знойдзена"
"медной","меднай","шмат меднай"
"медной","меднай","знойдзена шмат меднай"
"Здесь было","Тут было","Тут было знойдзена"
"Здесь было","Тут было","Тут было знойдзена шмат"
"Отдельные отряды","Асобныя атрады","Навучальныя ўстановы Асобныя атрады"
"Отдельные отряды","Асобныя атрады","ўстановы Асобныя атрады"
"Отдельные","Асобныя","Навучальныя ўстановы Асобныя"
"Отдельные","Асобныя","ўстановы Асобныя"
"заведения                          Отдельные","заводы Асобныя","Асобныя"
"заведения                          Отдельные","заводы Асобныя","Навучальныя ўстановы Асобныя"
"заведения                          Отдельные","заводы Асобныя","ўстановы Асобныя"
"либо","альбо","Інтэрнэт альбо"
"либо по","альбо па","Інтэрнэт альбо па"
"значительной её","значнай яе","значнай яе частцы."
"её","яе","яе частцы."
"Зеландия,","Зеландыя,","Зеландыя, Мексіка,"
"Центральная и","Цэнтральная і","Мексіка, Цэнтральная і"
"Центральная","Цэнтральная","Мексіка, Цэнтральная"
"Ситуация к","Сітуацыя к","Сітуацыя"
"Ситуация к","Сітуацыя к","Сітуацыя да"
"началу","пачатку","да пачатку"
"Ситуация","Сітуацыя","Сітуацыя да"
"началу Второй","пачатку Другой","да пачатку Другой"
"к началу","к пачатку","да пачатку"
"к началу","к пачатку","пачатку"
"лягушек","жаб","жаб няздольныя"
"большинство лягушек","большасць жаб","большасць жаб няздольныя"
"лягушек неспособны","жаб няздатныя","жаб"
"лягушек неспособны","жаб няздатныя","жаб няздольныя"
"неспособны жить","няздатныя жыць","няздольныя жыць"
"неспособны жить","няздатныя жыць","жыць"
"жить в","жыць у","няздольныя жыць у"
"жить","жыць","няздольныя жыць"
"на персональных","на персанальных","файлаў на персанальных"
"на","на","файлаў на"
"поиска среди","пошуку сярод","пошуку сярод файлаў"
"среди","сярод","сярод файлаў"
"от названия","ад назвы","ад назвы працякаючай праз"
"от названия","ад назвы","ад назвы працякаючай"
"него","яго","працякаючай праз яго"
"него","яго","праз яго"
"названия","назвы","назвы працякаючай"
"названия","назвы","назвы працякаючай праз"
"через него","цераз яго","яго"
"через него","цераз яго","працякаючай праз яго"
"через него","цераз яго","праз яго"
"487","487","487 ў"
"воздухе и","паветры і","ў паветры і"
"487 в","487 у","487"
"487 в","487 у","487 ў"
"воздухе","паветры","ў паветры"
"в воздухе","у паветры","паветры"
"в воздухе","у паветры","ў паветры"
"4)","4","мае 4"
"4","4","мае 4"
"его","яго","чынам, яго"
"его","яго","такім чынам, яго"
"4 основных","4 асноўных","мае 4 асноўных"
"периода,","перыяду,","перыяду, такім"
"периода,","перыяду,","перыяду, такім чынам,"
"атом","атам","атам мае"
"его атом","яго атам","такім чынам, яго атам мае"
"его атом","яго атам","такім чынам, яго атам"
"его атом","яго атам","чынам, яго атам"
