"Dr.","Dr.","al Dr."
"(20 December","(20 diciembre","(20 de diciembre"
"2010).","2010).","de 2010)."
"(20","(20","(20 de"
"Sports 1934","Deportes 1934","1934"
"Sports 1934","Deportes 1934","Sports 1934"
"1934","1934","Sports 1934"
"The Sea","El Mar","El"
"The Sea","El Mar","El Sea"
"the","El","El Sea"
"The","El","El Sea"
"the Sea","El Mar","El"
"the Sea","El Mar","El Sea"
"1972","1972","los 1972"
"1983.","1983.","1983. Compitió"
"He competed at","Compita en","en"
"He competed at","Compita en","Compitió en"
"He competed at","Compita en","en los"
"He competed at","Compita en","Compitió en los"
"840","840","840 m"
"(2,760","(2,760","m (2,760"
"840 metres","840 metros","840"
"840 metres","840 metros","840 m"
"(12,500","(12,500","3.800 m (12,500"
"(12,500","(12,500","m (12,500"
